State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.65158	4.70453	4.75606	4.79418	4.79136	4.75818	4.75183	4.72571	4.69041	4.57322	4.41438	4.29860	4.14964	3.95833	3.76701	3.55663	3.42885	3.23401	3.06952	2.95233	2.86691
2	2.00517	1.98272	1.97977	1.98095	2.00576	2.01462	2.03353	2.02526	2.04416	2.14578	2.26808	2.32598	2.40514	2.49849	2.60542	2.68046	2.71118	2.76021	2.79093	2.76848	2.73363
3	2.67289	2.67063	2.70000	2.68870	2.67741	2.75649	2.70678	2.73389	2.71130	2.57347	2.42887	2.30686	2.21423	2.13289	2.05607	2.05381	1.93406	1.94988	1.91824	1.88435	1.84368
4	0.40990	0.38331	0.35515	0.35827	0.34263	0.32073	0.34419	0.32855	0.32542	0.33950	0.36140	0.35984	0.36453	0.38018	0.38956	0.40052	0.42868	0.43181	0.45684	0.48969	0.48344
5	3.55567	3.48982	3.35813	3.27133	3.24439	3.10372	2.97503	2.93911	2.85231	2.75953	2.66376	2.53805	2.51411	2.54404	2.50513	2.49316	2.63083	2.66974	2.60390	2.59192	2.60988
6	1.76341	1.78640	1.78804	1.77819	1.74699	1.81759	1.84879	1.86849	1.91939	1.93417	1.95059	1.99984	1.96865	1.98671	1.97686	1.97686	1.91939	1.89312	1.90461	1.89640	1.93417
7	0.90844	0.91062	0.91062	0.90344	0.90583	0.90018	0.89300	0.89779	0.89713	0.90605	0.92649	0.94650	0.96934	0.98652	1.00914	1.03437	1.06047	1.08917	1.12506	1.15681	1.17921
8	0.41335	0.41199	0.41151	0.41069	0.41001	0.41083	0.40919	0.41001	0.41192	0.41328	0.41567	0.41833	0.42228	0.42488	0.42719	0.43019	0.43469	0.43926	0.44342	0.44895	0.45297
9	1.08026	1.07954	1.07571	1.07930	1.08360	1.08480	1.09413	1.09030	1.09054	1.09365	1.09102	1.08337	1.07691	1.07356	1.07380	1.07403	1.07164	1.06590	1.05824	1.05418	1.05561
10	1.71964	1.73046	1.74668	1.81157	1.73587	1.86565	2.00625	2.17389	2.18470	2.15226	2.00084	2.18470	2.21715	2.29827	2.28745	2.33071	2.20634	2.27123	2.27123	2.25500	2.28204
