State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.64866	0.60318	0.56018	0.54336	0.51532	0.48977	0.47668	0.46671	0.47731	0.49725	0.51906	0.54086	0.56205	0.56641	0.56891	0.58074	0.59134	0.61626	0.64866	0.71098	0.79073
2	0.94490	0.89953	0.84791	0.78168	0.70920	0.66591	0.61481	0.58822	0.57779	0.55536	0.53659	0.53503	0.54493	0.55797	0.58039	0.60803	0.65236	0.71337	0.81036	0.91883	1.01947
3	1.48374	1.25838	1.07292	0.89942	0.80768	0.79771	0.80369	0.78973	0.79970	0.84756	0.94329	0.96124	0.93731	0.92135	0.93731	0.98916	1.11081	1.45981	2.11193	2.82788	3.68142
4	0.89346	0.77470	0.67389	0.60899	0.55099	0.49161	0.45156	0.43775	0.41704	0.41290	0.35352	0.32175	0.32452	0.33833	0.35213	0.38251	0.46261	0.58965	0.80093	1.07988	1.45549
5	8.32945	9.19066	10.11528	11.01876	12.10452	13.19028	14.09112	14.84402	15.10819	15.13725	16.79099	22.88552	26.22205	28.02109	28.49925	28.24564	27.51651	26.14808	24.29621	22.18545	19.72334
6	3.59553	4.21001	5.13606	6.44037	7.90264	9.63302	11.31122	12.35467	12.96624	13.21261	12.46481	9.20984	7.21426	5.97082	5.26504	4.87375	4.47956	4.18537	3.70568	3.20424	2.81730
7	1.80120	1.74592	1.64610	1.49848	1.31534	1.09074	0.88956	0.75692	0.69472	0.66861	0.65498	0.65422	0.66746	0.68320	0.70720	0.73561	0.76728	0.80395	0.84656	0.88073	0.90838
8	0.40571	0.40415	0.40156	0.39915	0.39542	0.39470	0.39121	0.38964	0.38741	0.38537	0.38465	0.38465	0.38639	0.38633	0.38549	0.38591	0.38621	0.38645	0.38675	0.38663	0.38693
9	1.30553	1.28356	1.26519	1.23457	1.20965	1.16530	1.11483	1.07280	1.03521	1.01494	1.01684	1.02550	1.03352	1.04641	1.07682	1.09477	1.12032	1.13700	1.15770	1.17628	1.18874
10	1.91878	2.04765	2.02379	2.02379	1.95697	1.76127	1.71831	1.69445	1.83764	2.19562	2.00470	1.45102	1.14077	1.14554	1.07872	1.10736	1.27919	1.38897	1.33646	1.39374	1.25055
