State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	4.92493	0.88350	5.27990	2.22175	4.41343	0.51907	0.62097	0.29321
2	5.88493	0.73850	1.88130	2.00054	2.26831	0.53661	0.74114	0.39978
3	1.53881	0.84932	3.12364	2.28021	2.42686	0.94332	1.17362	0.19264
4	2.22229	0.24659	0.24946	2.25016	0.36144	0.35353	0.59337	0.17932
5	1.16165	18.72838	4.46152	2.06198	2.66403	16.78886	15.87380	0.23912
6	2.11754	11.23893	2.28550	1.01911	1.95079	12.46519	6.88628	0.61342
7	15.98630	0.72429	0.77802	0.85459	0.92659	0.65500	1.01430	0.79701
8	50.98905	0.38376	0.37645	0.67674	0.41571	0.38466	0.41800	1.26265
9	14.53156	0.76516	1.01704	1.06005	1.09114	1.01687	1.22529	1.12091
10	0.64294	2.53151	1.75855	1.01059	2.00105	2.00476	1.71093	0.80972
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
