State (Emission order)	H3k36me3	H4k20me1	H3k79me2	H3k09ac	H3k04me1	H2az	Ezh239875	H3k27me3	Ctcf
1	0.8121089747769618	0.060380211723440984	0.035187397383591	0.02143370855900915	0.0037475812922627824	2.8722031534646436E-4	0.022134861878930948	8.65229640534729E-5	0.019701747715056114
2	0.0856977500568361	0.02891204306870201	0.01770971352942957	0.011995775331533898	0.0013472763502497846	1.9445856690312842E-4	0.018085872230218757	2.98102898200893E-4	0.0013759800503266772
3	0.915038003914052	0.598127298887392	0.901183102244564	0.0572631643300906	0.1820986838859044	1.288667725296407E-4	0.025379930405770044	5.2328423159437E-5	0.024986227580343506
4	0.07532654958497685	0.34193188311451866	0.7489983333603324	0.019965407479411272	0.04037486727176172	6.920144946256965E-5	0.019604424837579345	3.013650933827243E-4	0.006578038663274756
5	0.31472389331484524	0.30071918406378667	0.927274352887347	0.6973182842569787	0.7807352514274453	0.30113115375594535	0.05927920165752548	0.0016614741152430502	0.10788845103007844
6	0.026690798274377894	0.02610455540257698	0.01552487012116504	0.3785852411087826	0.8679507791553542	0.33563253118162734	0.08073636587718483	0.033609922758817815	0.10215153022638289
7	0.0019842959204184876	0.001687062115274063	8.612328929269127E-5	0.012257755706629715	0.0031964633560384375	0.022483240083348316	0.02849355214943008	0.0018405796805464824	0.0014394619595802427
8	7.09173526354856E-5	3.347103861769754E-4	5.0893248470200854E-6	0.003306927903809378	8.858442737801388E-5	0.001855258498323596	0.024526925190260274	0.0045861256403720765	4.700551821712334E-4
9	4.1639577570537965E-5	0.015402896049594928	1.8610764620201782E-5	0.009880094628495064	7.059737547966664E-4	0.004682499615407872	0.08143012454963634	0.19163554054229417	0.0016466585432020266
10	0.01714973598260729	0.048058525650750944	0.001806161271051333	0.023786719869986244	0.04885662364693204	0.059493876219226555	0.07798177170486184	0.06456545271506099	0.9262316009583683
